snapshot	commit	command	exit_code	duration_ns	stdout_sha256	stderr_sha256	execution_source	predicate
old	2dc867eed5d128beeb69ca2e818f291ab76ea895	cd <archive>/old && bash -c 'scripts/mesh-task --test'	0	666214842	47de3cbf9dba8bb57684fbf2b1f3a3f7f492fabe6bf6a95835e28711ce57e45c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	git archive	PASS
old	2dc867eed5d128beeb69ca2e818f291ab76ea895	cd <archive>/old && bash -c 'scripts/test-mesh-board --test'	127	3022553	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	830dec412e903f66b88ea51f1ca41e0277c18f064de9c67260711e5a21ba3345	git archive	BLOCKED: path absent at pinned old commit
old	2dc867eed5d128beeb69ca2e818f291ab76ea895	container alpine@sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b; cd <archive>/old/scripts/uxn && MESH_REPO=/work/old MESH_UXN_DIR=/work/old/scripts/uxn ./test-board-check	0	6	8cb6245073a82c41e9f6018c85def9528e45a484550bc66afc47e5ca6c9c1426	662f38b98405f51d298c975b2e1c9c73db05223eca967e90d50a9f2a355bad0a	git archive in pinned container	PASS
new	82c096be8bffc04aa56867c12d6292134f338662	cd <archive>/new && bash -c 'scripts/mesh-task --test'	0	500130107	47de3cbf9dba8bb57684fbf2b1f3a3f7f492fabe6bf6a95835e28711ce57e45c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	git archive	PASS
new	82c096be8bffc04aa56867c12d6292134f338662	cd <archive>/new && bash -c 'scripts/test-mesh-board --test'	0	663442522	33b5f519e3416873e48f4051fd70d9551d69b4c33b9005fead2cfd5acb357c37	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	git archive	PASS
new	82c096be8bffc04aa56867c12d6292134f338662	container alpine@sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b; cd <archive>/new/scripts/uxn && MESH_REPO=/work/new MESH_UXN_DIR=/work/new/scripts/uxn ./test-board-check	0	5	8cb6245073a82c41e9f6018c85def9528e45a484550bc66afc47e5ca6c9c1426	662f38b98405f51d298c975b2e1c9c73db05223eca967e90d50a9f2a355bad0a	git archive in pinned container	PASS
