path	mode	kind	git_object_id	bytes	sha256	status	reason
docs/blueprints.rst	100644	blob	af368bacf1c2e6b77cd84edff052b176aea892ff	12141	640afdc9eeff79864e7c82f33b6a40f0e4ecf99683a25a5fb616d53265eebf5f	excluded	outside-native-package
docs/changes.rst	100644	blob	955deaf27bc821a6367e818f36c016892fed3d33	45	94c7e3657f8795af8f66d20fb6208f83df46bce9cab9b82d2c16ad961a87f7e0	excluded	outside-native-package
docs/cli.rst	100644	blob	22484f1731061883571c2906243573648b4e7930	16710	03398416a21670645e895ee9d66f1d9526ca9abc46b87c3c12210120a2ead34c	excluded	outside-native-package
docs/conf.py	100644	blob	f0be07224c7b3fbc17c53db702a212b558fe09ff	3370	313d256d8bb99009fddbb137d6753be041634d3df722e7b01fa35eaa485cc5b5	excluded	outside-native-package
docs/config.rst	100644	blob	bdcbdcd43c1b8f5a18be3723c766c976b1e2794e	26137	8954cd19550990879a0715448f1a5182352dab15fe98aaf1f872440751c5525b	excluded	outside-native-package
docs/contributing.rst	100644	blob	e582053ea018c369be05aae96cf730744f1dc616	33	87d5c7434971ff248a817426c2a84940b3c3ed51251ddcaed6bb8a7d85afad80	excluded	outside-native-package
docs/debugging.rst	100644	blob	fb3604b036bd0f21a159d26c787e9543c22184c0	2951	2cb3b18bbc6953b14e27a844f751694ef688b4bbb4dbee76847abd4c2a2f9b33	excluded	outside-native-package
docs/deploying/apache-httpd.rst	100644	blob	bdeaf62657740c09df6f18ca8a84d6fdc9b97318	2364	676271e9f5f3b317eb282a8b3888d502813e58e8247791d7a56210e6194d4728	excluded	outside-native-package
docs/deploying/asgi.rst	100644	blob	36acff8ac504ff276f9a23bcd3204c9eb1751393	673	bb29483e443a2e9325e42b2406a1941bec338358018a25f547dd53d890682a63	excluded	outside-native-package
docs/deploying/eventlet.rst	100644	blob	243be5ebb30dcf3b397d8fbcbfca184c56a616e3	2402	77c6f569bd9c37685068139c42e12dd4075f2a798f370786c39e449e4bddb404	excluded	outside-native-package
docs/deploying/gevent.rst	100644	blob	aae63e89e8a3ce630dc39108e41191d41f567821	2415	fea4136143c16e553bd77d597405c57ba84579f423c5e9fc8dab388fe036a8fe	excluded	outside-native-package
docs/deploying/gunicorn.rst	100644	blob	93d11d3964079cd56e2ce3548b2ec1cf8a8606da	4040	0d4bb061aa02688d2608aab39f0b04a3f3fbe71c54bfc1f03f45357d561f236c	excluded	outside-native-package
docs/deploying/index.rst	100644	blob	2e48682a5d7d4b5fbcd62bd49318c0ef05ee46ee	3266	a4e6703611c2062e7d55dd62ae8da9175fd8ed074b555f4f2ed6c94a8a191813	excluded	outside-native-package
docs/deploying/mod_wsgi.rst	100644	blob	eae973deb67222a6843bd6714deaceaacf9cb48c	2810	2a2431f117facc3ffb8d24f522155842494019139b574b2b346222630bb42237	excluded	outside-native-package
docs/deploying/nginx.rst	100644	blob	6b25c073e8406294ebad12474afd30693b627ff3	2316	baae442b157057d9f331ef8c2de16065cf3de2e5d6f9b0448e8f74912612e666	excluded	outside-native-package
docs/deploying/proxy_fix.rst	100644	blob	e2c42e8257f744bc77e52e539ce7edc49b95d02c	1365	d7da21c812c72a8a8b3d8c74240df3593f626c3b285f64488d4dc81365a4b855	excluded	outside-native-package
docs/deploying/uwsgi.rst	100644	blob	2da5efe2d9a88a633b8d71b9561fdc0cd2b4118c	4766	8c743ca3f827fc4865ad68ecd3add10e6987e8eec83d64e69890ce5f1b46aa6f	excluded	outside-native-package
docs/deploying/waitress.rst	100644	blob	9b2fe13f932162056472b0a00a5ae3fcdc13dea5	2334	2808ab31f6efd5e026e558acd4dd4830ca5698e3d403fefc7af3a5eff313468f	excluded	outside-native-package
docs/design.rst	100644	blob	066cf107c1e5305790c1376c791173b22752677a	11074	50623cdef4a04bcce46713ed55b5229820b769ecce70ffa5304cea74fa087d74	excluded	outside-native-package
docs/errorhandling.rst	100644	blob	808a61a2e9411a8eeaa7f309560af5dab90f0ba7	18465	96d877866a6b72dbe42ef744763318cdff0176cf68019f23f91ec0c08b6f7ce8	excluded	outside-native-package
docs/extensiondev.rst	100644	blob	95745119d150a4b65559bbf2e18fd0b34ce449ed	12782	c21f19e251492b21f5ce9005dbdbbed88522f39154d1e7004a4392b6daf89ab5	excluded	outside-native-package
docs/extensions.rst	100644	blob	4713ec8e2d9caa49b122d009cf5303c3ab82afee	1372	ccf9b1eb72261ba34b9dd76a483ee3979091916bab0d3b79f7fe4667f418d42d	excluded	outside-native-package
docs/index.rst	100644	blob	983f612f3fb6b02f44ee28b0f29939b501e665d6	2013	97b80301157d61ffcaaa8907ab982f7e5ee8dcbabfe53e2e2431e1af1356c3bc	excluded	outside-native-package
docs/installation.rst	100644	blob	8a338e182afc399bd8622cb158a661c532bc6949	3768	4e9241e385d4a717e701e171ffdb58ca423e4339945191c5f9a87494431ab231	excluded	outside-native-package
docs/license.rst	100644	blob	f3f64823b9b55e74d8e42a106d14e1efe87dd8b4	398	7535eac513edd12fb8e33f203c6a403549629e34b363418cdbd6c6ea5464515d	excluded	outside-native-package
docs/logging.rst	100644	blob	0912b7a1d5cb7d688b45f9ff665b30be243012f9	5910	aa114b98ea50fc8c50bc6209d8d645f694b31916df896483c1f17c3d14bdc855	excluded	outside-native-package
docs/make.bat	100644	blob	922152e96a04a242e6fc40f124261d74890617d8	760	28aa5a45fae5d43d8a0e7e3d656e42a592b30d05a0838521bef6216d450b93b9	excluded	outside-native-package
docs/patterns/appdispatch.rst	100644	blob	0c5e846efdfe3d15ec188cfd89f8c007548093b6	6930	10d7a29f0d8c6bbbe5bb60b3c8833bc3dfb58e725ab0e93027dec87f8cdf4c89	excluded	outside-native-package
docs/patterns/appfactories.rst	100644	blob	415c10fa47b3a22b3eda8780c80d1eab33ee85e2	4102	628aca381ef4b6a9fa0d6099cf1599e72be20b0d9f1ddfb1d3401500b338aca3	excluded	outside-native-package
docs/patterns/caching.rst	100644	blob	9bf7b72a2ce272165763c9c40da5f6a7f855048f	653	69f3d64582f923c04eb89dfd4112bef1173d0a5352b94832c891cb36633bafe1	excluded	outside-native-package
docs/patterns/celery.rst	100644	blob	228a04a8aad6f133ccb1313b443019cdce68c1ca	3700	a26f1a2b13a17e9b0f6f13389a618e3bbab3af39d05d9fa497c5f312f2ae0776	excluded	outside-native-package
docs/patterns/deferredcallbacks.rst	100644	blob	4ff8814b40c71c6c8452d06c211d3d34dc0b40a4	1848	b9d44479bb2af5827b5ee0a953ab3138db11dda8d1cd7ada68963b55b5031adf	excluded	outside-native-package
docs/patterns/favicon.rst	100644	blob	21ea767fac97de4c1425d2e7445afb6d64c7c38e	2071	0315c8700dc97bf31359ea8131cac7bbedd07a1d6388ac97f0580314df75dade	excluded	outside-native-package
docs/patterns/fileuploads.rst	100644	blob	304f57dcff8edc56f0bf01abdf814fa8263a0dbc	7297	1db4e08f5a4435abb41946314bb35d5d0b3e86723db02961ba5bd8f9f9f9a556	excluded	outside-native-package
docs/patterns/flashing.rst	100644	blob	8eb6b3aca2080a00dc85a874149e3cfb7329279d	4536	5802f174e23a0392bee1e52bdc90ea6c6d658cc74a6f6401e174661aa2a7c01f	excluded	outside-native-package
docs/patterns/index.rst	100644	blob	1f2c07dd00b575a94a7e44912f3c897c8505ec47	961	e41c5117727b09d67aac1f6917e810484c82ae467f2c9c77bc19e300ed948c9d	excluded	outside-native-package
docs/patterns/javascript.rst	100644	blob	dd3bcb9b6cc3c8790dc0d7cab6966208160184dd	8964	dc55f02362324b8def46e9231d5d7a2ff7e95530e9de34d7447639ae183852d4	excluded	outside-native-package
docs/patterns/jquery.rst	100644	blob	7ac6856eacdff91f846c01c1ad09cd42c9c40699	96	3bf6ce863472c428f9c3ce23f542b3e8b95ddc7bce64d6a60bd8ca2b93293656	excluded	outside-native-package
docs/patterns/lazyloading.rst	100644	blob	658a1cd43c890251140d69db7b938368c245ca26	3847	cddcdbf43a1c32ff59d890672cf568770e837f53ff8879f62a5796f3e34c5087	excluded	outside-native-package
docs/patterns/methodoverrides.rst	100644	blob	45dbb87e20ba5e0361a12bec97e11aae9d5ebb3a	1456	d5a7d8b280a4e61016ee4be39e8c15e5b209076720e9235b357e48473fa07a56	excluded	outside-native-package
docs/patterns/mongoengine.rst	100644	blob	015e7b613b49d8aa15db4bd0295ce654f1c765bd	2858	78490f31e89af2beb6565313c67b41a178e2416c748afe4fa98a194992004f9e	excluded	outside-native-package
docs/patterns/packages.rst	100644	blob	13f8270ee82d722b2603e33b61cc3a46d289e3bf	4086	927732850eae752ee8ee31c3601b862536b041dba9d6eecd01b34f205e4c0ec7	excluded	outside-native-package
docs/patterns/requestchecksum.rst	100644	blob	25bc38b2a43b220597ca8c2e4a3b87730173a95a	1861	de35760b81ceb3a402fba66ff4d899aa1efcfdf4f240ce3a075ea3b123aa4a3e	excluded	outside-native-package
docs/patterns/singlepageapplications.rst	100644	blob	1cb779b33bd145c2341772f9676f88d8779dd502	731	363abbdf6ee25f665e6e4ed86da02ba3d79b730f623be082647789123fd2d208	excluded	outside-native-package
docs/patterns/sqlalchemy.rst	100644	blob	734d550c2bd4a7575cde4f4468fc6520ac6c9122	7336	60a45ae8047f3aa901d14f6f93063611a0867b4588ef00340e0753d89544be77	excluded	outside-native-package
docs/patterns/sqlite3.rst	100644	blob	5932589ffa4d7d36c2f360a294bce18034cf270e	4956	6ee6fcaa12dcf1ce11b3883d1e4d1a0f1a413958679649da5ac0ce9d3b06b533	excluded	outside-native-package
docs/patterns/streaming.rst	100644	blob	e35ac4ab52d10c4c72be538bcebfd30faa7ebdb0	2635	cc768b3d1f3c5a7197b5b485064b266480449500b3fe3157fe9d6c491a82327e	excluded	outside-native-package
docs/patterns/subclassing.rst	100644	blob	d8de2335925f44e079eff7f0558ee13911e2cc64	676	5f7e400c7970951eb104df5a2d9613c8986a3b05c16bf622d7d1a6ddc69d720b	excluded	outside-native-package
docs/patterns/templateinheritance.rst	100644	blob	bb5cba270617fdc9070c7c39c27ef6866c5d516f	2197	f41b40dea855682d9435edf0ff3a27b5f4267492325b8ba447c419e649373e70	excluded	outside-native-package
docs/patterns/urlprocessors.rst	100644	blob	0d743205fd28c0a821fac05cb561cc73ef6cd94d	4306	816aa72b588023fbed0f46986cd413132040b8d0a144596781cd3c2fd2a865e5	excluded	outside-native-package
docs/patterns/viewdecorators.rst	100644	blob	0b0479ef8141f76e3fe83d6452021e4c5be3e55c	6318	2e461ba65df1ba86c01b49f20b5c118d75544796ba637c8bebe8c4789c761144	excluded	outside-native-package
docs/patterns/wtforms.rst	100644	blob	3d626f5084f9a5ea5209f12ddab4a5d0ca12e8d2	4709	13e7666545c4ed60f7825fe9b5f9237da25d313da7da6ed39418b4f031adfb8c	excluded	outside-native-package
docs/quickstart.rst	100644	blob	22c411eec26e0de98993611ed5a03db9b789438f	32280	dc1931c1ab6e92778024d3e4337d3229a940717b851b332f06cf977323a319e7	excluded	outside-native-package
docs/reqcontext.rst	100644	blob	2b109770e531786f68c850e889291c4aa2f0de03	9379	529b1cbf06c46236f53955948ebe7bd015fb8f8ee17fa8dbcb8eade72ea683f7	excluded	outside-native-package
docs/security.rst	100644	blob	777e51125b982ab2f906dbca3c4262a8c5668308	10732	9514dfd9671226820878b75b859af4701fbf6ae72ef762ddb4b02a83ff1bb147	excluded	outside-native-package
docs/server.rst	100644	blob	a34dfab5ddd07d5d8016e1175d6cd1dfa3a3db11	3654	91e4ef543b1c51fd3517e1d1cd5ae082578fef072df70b5cdc8ee4e4afbfad5c	excluded	outside-native-package
docs/shell.rst	100644	blob	7e42e28515e828f8daca8cbf466111ce61235d7f	3646	10a86c0b756ee35d77620867255ecc658e05525aba9b987be153dccc607a4dab	excluded	outside-native-package
docs/signals.rst	100644	blob	27630de681732680a1bbbabd1c54b5b7d496e2d2	7067	45236414f96c9297a2a8d60c30abc0b21d03c3155890704e11e739a15a45d86a	excluded	outside-native-package
