path	mode	kind	git_object_id	bytes	sha256	status	reason
docs/_templates/hacks.html	100644	blob	eca5dffcb54a21b9b930d14b5f423a718b9c979e	2083	14590290d56e931e1db77681dfe0c08554df988d60e0a4b94d336b7ba0fdfb33	excluded	outside-native-package
docs/_templates/sidebarintro.html	100644	blob	2b595b54d4a314bf015b2b5cc199ce6cab85feb7	1423	dfe5efcc52e5b6b4965a87ec49cd69fd432dc46998c9f0bf080aa72024bdbe34	excluded	outside-native-package
docs/_templates/sidebarlogo.html	100644	blob	a3454b7c498af6f7eac6e93c4a04174c524d9fb1	1301	407c0ada33668e0b8dca0fb21dc9449f41bf33d316560eb5c2d2a729ce13e12c	excluded	outside-native-package
docs/_themes/.gitignore	100644	blob	66b6e4c2f3b55b25afd9716f9d3c5afb47b15d4e	22	f27660c4ec6efa86aac4d61036c5f495e9438805a6f63be44f17db003979a06f	excluded	outside-native-package
docs/_themes/LICENSE	100644	blob	3d1e04a257aa9a7a51fbd87e3dc7cbef01f5b97b	1861	6afc9d58f919ab52f4806a895a37aefe4d263f8e52278e6a1e87c5d7ec82299c	excluded	outside-native-package
docs/_themes/flask_theme_support.py	100644	blob	33f47449c11d241e36c83d7f95d819bbe56e2c8f	4875	bba3677c6eeb99f678e808e90142a025b798b7658bac1ab4632591df8441d209	excluded	outside-native-package
docs/api.rst	100644	blob	83eb58787a5b363bb27765bd691a1ce490f8c1b4	7286	abc3ec1d004fcbe4ac2c232ca7f31f7020b7d5da244bea9d1e27afeb81d6da47	excluded	outside-native-package
docs/community/faq.rst	100644	blob	9d900be2b52ade8ea23e89eadc2d05da7dcc8348	3695	66955528cee38f1770356b1e2a120a448f0e90c531435faae421c486a17ff31c	excluded	outside-native-package
docs/community/out-there.rst	100644	blob	c33ab3c95be951d6f05a708475420d8f371c8bf1	1163	9779ecdd1a5b73cff0d17651b08cb95f6f285278262159832b315296d0cf2c95	excluded	outside-native-package
docs/community/recommended.rst	100644	blob	517f4b189520bfc9160ef1aba6435b949a62a532	2174	99c8004abf493d6ad2018352dbdf923a790dfbe1a45dd90b214f1e29b08034d1	excluded	outside-native-package
docs/community/release-process.rst	100644	blob	4aa98f755e4c598ae7f2b819f536e65b25455af6	2066	a7a8e987bf671a79e4b44e8722b7446fd429922e7d0bde50dd2fba578b966485	excluded	outside-native-package
docs/community/support.rst	100644	blob	ee905f543dfd20f1f487b7dbf9f87641e18d1f81	846	7f1a8ee725fce4ef5bc51568d51b54ba1611e518975463bb11d2cd2c20309fd0	excluded	outside-native-package
docs/community/updates.rst	100644	blob	c787c45bcf1bf1baa148dc2e6508c686bd08e47f	322	202f5d2f2ac8b76c77f00fb0085886510350623873bb2626ef6cb192c84d385b	excluded	outside-native-package
docs/community/vulnerabilities.rst	100644	blob	6a9c7d94d37f61a962cf255d0d985fa30a5dcadb	4750	1f0d8095ec84a42307abd03b9ae6cad62e030c02c1aad9715dd47f9deb7a76bc	excluded	outside-native-package
docs/conf.py	100644	blob	edbd72ba8236299f7bde93dff4edf4abdab7aba0	12251	7288e50389e89cc24cd7ac6b96d8108438ff9d5e0191a950907be392a5458478	excluded	outside-native-package
docs/dev/authors.rst	100644	blob	e9799a91421af6ca0639a8e85a55a9834fdeb0de	48	711bde324e69bf390c914fcb1e5d4aa17174deb2093b8c7865a7103391716d07	excluded	outside-native-package
docs/dev/contributing.rst	100644	blob	961f7c3abadd6f39009cc6d70d51ac77d0410a12	6460	5ef36704844d3f399105fbe99d9898f116f4fc0450cb223333de321c368a2d31	excluded	outside-native-package
docs/index.rst	100644	blob	306b60f3ea8789047fa4a8dafae9e6e603fdf8a0	3446	a39657af2b6986d77f755d196e73f50d0af10965b067ee3f1990e10154af0804	excluded	outside-native-package
